Nome do Logradouro,Abreviatura
ACESSO,ACS
ADRO,AD
AEROPORTO,AER
ALAMEDA,AL
ALTO,AT
ATALHO,ATL
ATERRO,ATER
AUTODROMO,ATD
AVENIDA,AV
BAIA,BAIA
BAIRRO,B
BAIXA,BX
BALNEARIO,BAL
BECO,BC
BELVEDERE,BLV
BLOCO,BL
BOSQUE,BQ
BOULEVARD,BV
CAIS,C
CAMINHO,CAM
CAMPO,CPO
CANAL,CAN
CARTODROMO,CTD
CHACARA,CH
CHAPADAO,CHP
CIDADE,CD
COLONIA,COL
CONDOMINIO,COND
CONJUNTO,CJ
CORREDOR,COR
CORREGO,CRG
DESCIDA,DSC
DESVIO,DSV
DISTRITO,DT
EDIFICIO,ED
ENTREPOSTO,ETP
ENTRONCAMENTO,ENT
ESCADARIA,ESD
ESCADINHA,ESC
ESPLANADA,ESP
ESTACAO,ETC
ESTADIO,ETD
ESTANCIA,ETN
ESTRADA,EST
FAVELA,FAV
FAZENDA,FAZ
FEIRA,FRA
FERROVIA,FER
FONTE,FNT
FORTE,FTE
FREGUESIA,FRG
GALERIA,GLR
GRANJA,GR
HIPODROMO,HPD
ILHA,IA
JARDIM,JD
LADEIRA,LAD
LAGO,LAG
LAGOA,LGA
LARGO,LGO
LIMITE,LIM
LINHA DE TRANSMISSAO,LINHA
LOTEAMENTO,LOT
MANGUE,MANG
MARGEM,MGM
MONTE,MT
MORRO,MRO
PARADA,PDA
PARQUE,PQ
PASSAGEM,PAS
PASSEIO,PSO
PATIO,PTO
PLANALTO,PL
PLATAFORMA,PLT
PONTE,PTE
PORTO,PRT
POSTO,POS
PRACA,PCA
PRAIA,PR
PROLONGAMENTO,PRL
RAMPA,RMP
REDE ELETRICA,REDE
RETA,RTA
RIO,RIO
RODOVIA,RDV
RUA,R
RUELA,RE
SERRA,SERRA
SERTAO,SER
SERVIDAO,SVD
SETOR,ST
SITIO,SIT
SUBIDA,SUB
SUPERQUADRA,SQD
TERMINAL,TRM
TERRENO,TER
TRANSVERSAL,TSV
TRAVESSA,TR
TREVIO,TRV
VALE,VAL
VARGEM,VRG
VARIANTE,VTE
VELODROMO,VLD
VIA,VIA
VIADUTO,VD
VIELA,VEL
VILA,VL
