,Cod,Grupo,Produto
1,302,7,GAS ENCANADO | M3
2,401,7,TELEFONE RESIDENCIAL | GASTO TOTAL | DOMICILIO PRINCIPAL
3,402,7,TELEFONE RESIDENCIAL | GASTO TOTAL | PULSOS
4,501,7,GAS DE BUJAO | DOMICILIO PRINCIPAL
5,502,7,GAS DE BUJAO | KG
6,503,7,GAS DE BUJAO
7,601,7,AQUISICAO DE AGUA | DOMICILIO PRINCIPAL
8,602,7,GARRAFAO DE AGUA | DOMICILIO PRINCIPAL
9,603,7,AQUISICAO DE AGUA | LITRO
10,701,7,LENHA | COMBUSTIVEL DOMESTICO | DOMICILIO PRINCIPAL
11,702,7,LENHA | M3
12,801,7,GAS DE BUJAO PARA ILUMINACAO | DOMICILIO PRINCIPAL
13,901,7,QUEROSENE | COMBUSTIVEL DOMESTICO | DOMICILIO PRINCIPAL
14,902,7,QUEROSENE | COMBUSTIVEL DOMESTICO | LITRO
15,1001,7,CARVAO | COMBUSTIVEL DOMESTICO | DOMICILIO PRINCIPAL
16,1002,7,CARVAO | KG
17,1101,7,ALCOOL | COMBUSTIVEL DOMESTICO | DOMICILIO PRINCIPAL
18,1201,7,OLEO DIESEL | COMBUSTIVEL DOMESTICO | DOMICILIO PRINCIPAL
19,1301,7,TELEFONE RESIDENCIAL | INTERURBANO | DOMICILIO PRINCIPAL
20,1302,7,TELEFONE RESIDENCIAL | INTERURBANO
21,1401,7,TELEFONE RESIDENCIAL | INTERNACIONAL | DOMICILIO PRINCIPAL
22,1402,7,TELEFONE RESIDENCIAL | INTERNACIONAL
23,1601,7,ACESSO A INTERNET | PROVEDOR; A CABO; COMUNICACAO VIA SATELITE | DOMICILIO PRINCIPAL
24,1602,7,ACESSO A INTERNET | DOMICILIO PRINCIPAL
25,1603,7,TAXA DE INTERNET | DOMICILIO PRINCIPAL
26,1604,7,PROVEDOR DE INTERNET | DOMICILIO PRINCIPAL
27,1605,7,COMUNICACAO A CABO INTERNET | DOMICILIO PRINCIPAL
28,1606,7,COMUNICACAO VIA SATELITE DE INTERNET | DOMICILIO PRINCIPAL
29,1607,7,ACESSO INTERNET | PROVEDOR; A CABO; COMUNICAÇÃO VIA SATELITE
30,1701,7,TV | ASSINATURA | DOMICILIO PRINCIPAL
31,1702,7,MENSALIDADE DE TV | ASSINATURA | DOMICILIO PRINCIPAL
32,1703,7,ASSINATURA DE TV | DOMICILIO PRINCIPAL
33,1704,7,TV | ASSINATURA
34,1801,7,GASOLINA | COMBUSTIVEL DOMESTICO | DOMICILIO PRINCIPAL
35,1802,7,GASOLINA | LITRO
36,1901,7,RECARGA DE BATERIA | ILUMINACAO DOMICILIAR
37,2001,7,PO DE SERRA
38,9801,7,AGREGADO
39,101,8,AZULEJO E PISO
40,102,8,PISO
41,103,8,RODAPE | EXCETO DE MADEIRA
42,104,8,LAJOTA
43,201,8,APARELHOS SANITARIOS | PIA; VASO; BIDE; BANHEIRA; ETC.
44,202,8,BIDE
45,203,8,CONJUNTO SANITARIO
46,204,8,VASO SANITARIO
47,205,8,BANHEIRA
48,206,8,PECA PARA SUPORTE DE PAPEL HIGIENICO
49,207,8,SABONETEIRA | EXCETO DE PLASTICO
50,208,8,PIA
51,209,8,APARELHOS SANITARIOS | PIA; VASO; BIDE; BANHEIRA; ETC.
52,301,8,JANELA E PORTA
53,302,8,PORTA
54,401,8,MADEIRA E TACO
55,402,8,TACO
56,403,8,CAIBRO
57,404,8,RIPA
58,405,8,SARRAFO
59,501,8,CIMENTO
60,502,8,CIMENTO BRANCO
61,503,8,CIMENTCOLA OU CIMENTOCOLA
62,601,8,TIJOLO
63,602,8,BLOCO DE CERAMICA
64,701,8,VIDRO
65,801,8,TINTA
66,802,8,VERNIZ
67,901,8,MATERIAL DE PINTURA EM GERAL
68,902,8,MASSA CORRIDA PARA PAREDE
69,903,8,CAL
70,904,8,CAL VIRGEM
71,905,8,ROLO DE PINTURA
72,906,8,LIXA DE MADEIRA
73,1001,8,TORNEIRA; CANO E MATERIAL HIDRAULICO EM GERAL
74,1002,8,CANO
75,1003,8,MATERIAL HIDRAULICO
76,1004,8,TORNEIRA; CANO E MATERIAL HIDRAULICO EM GERAL
77,1101,8,FERRAGENS | FECHADURA; FERRO; ARAME; PREGO; ETC.
78,1102,8,FECHADURA
79,1103,8,FERRO
80,1104,8,ARAME
81,1105,8,PREGO
82,1106,8,CADEADO
83,1107,8,RALO DE ESGOTAMENTO DE AGUA
84,1108,8,TELA DE ARAME
85,1109,8,TRILHO METALICO
86,1110,8,ROLAMENTO PARA PORTA
87,1111,8,FERRAGENS | FECHADURA; FERRO; ARAME; PREGO; ETC.
88,1201,8,FIO E MATERIAL ELETRICO EM GERAL
89,1202,8,MATERIAL PARA INSTALACAO ELETRICA
90,1203,8,FIO PARA INSTALACAO ELETRICA
91,1301,8,MAO-DE-OBRA | PEDREIRO; MARCENEIRO; ELETRICISTA; PINTOR; ETC.
92,1302,8,PEDREIRO
93,1303,8,MARCENEIRO
94,1304,8,ELETRICISTA
95,1305,8,PINTOR
96,1306,8,MAO DE OBRA | PEDREIRO; MARCENEIRO; ELETRICISTA; PINTOR; ETC.
97,1307,8,LIMPEZA DE FOSSA
98,1401,8,DEDETIZACAO; DESRATIZACAO; DESINSETIZACAO; ETC.
99,1402,8,DESRATIZACAO
100,1403,8,EXTERMINIO DE INSETOS
101,1404,8,DESINSETIZACAO
102,1501,8,VITRIFICACAO | SINTECO; POLIURETANO; ETC.
103,1502,8,SINTECO
104,1503,8,POLIURETANO
105,1601,8,REFORMA OU OBRA POR EMPREITADA
106,1602,8,CONSTRUCAO POR EMPREITADA
107,1603,8,EMPREITEIRO
108,1604,8,EMPREITADA
109,1605,8,OBRA POR EMPREITADA
110,1606,8,TERRAPLANAGEM | EMPREITADA
111,1607,8,SERVICO DE TERRAPLANAGEM | EMPREITADA
112,1701,8,LICENCA PARA OBRA; PLANTA E DESEMBARACO DE DOCUMENTACAO
113,1702,8,PLANTA PARA OBRA
114,1703,8,DESEMBARACO DE DOCUMENTACAO PARA OBRA
115,1704,8,LICENCA PARA OBRA
116,1801,8,ARTIGOS DE JARDINAGEM | PLANTA; TERRA; SEMENTE; XAXIM; ETC.
117,1802,8,PLANTAS NATURAIS
118,1803,8,TERRA VEGETAL
119,1804,8,SEMENTES
120,1805,8,XAXIM
121,1806,8,VASO PARA PLANTA
122,1807,8,SUPORTE DE VASO
123,1808,8,MUDAS
124,1809,8,PINHEIRO | MUDA
125,1810,8,ARTIGOS DE JARDINAGEM | PLANTAS; TERRA; SEMENTES; XAXIM; ETC.
126,1901,8,ALUGUEL DE CARRETO PARA MATERIAL DE CONSTRUCAO
127,1902,8,FRETE DE MATERIAL DE CONSTRUCAO
128,1903,8,ALUGUEL DE CACAMBA PARA RETIRAR ENTULHOS
129,1904,8,RETIRADA DE ENTULHO
130,1905,8,CARRETO DE MATERIAL DE CONSTRUCAO
131,1906,8,ALUGUEL DE MATERIAL DE CONSTRUCAO
132,2001,8,CAIXA DE CORREIO
133,2002,8,CAIXA DE CORRESPONDENCIA
134,2101,8,LAJE PRE-MOLDADA
135,2102,8,LAGE PRE-MOLDADA
136,2201,8,AREIA; TERRA; BARRO; SAIBRO; ETC.
137,2202,8,ARENOSO
138,2203,8,BARRO
139,2204,8,SAIBRO
140,2205,8,CAULIM
141,2206,8,TERRA
142,2207,8,ATERRO
143,2208,8,CASCALHO
144,2209,8,AREIA; TERRA; BARRO; SAIBRO; ETC.
145,2301,8,PEDRAS | BRITADA; MARROADA; PARALELEPIPEDO; ETC.
146,2302,8,PEDRA BRITADA
147,2303,8,BRITA
148,2304,8,PO DE PEDRA
149,2305,8,PEDRA MARROADA
150,2306,8,PEDRA DE ALICERCE
151,2307,8,PEDRAS | BRITADA; MARROADA; PARALELEPIPEDO; ETC.
152,2401,8,PORTAO
153,2402,8,PORTAO DE FERRO
154,2403,8,PORTAO ELETRONICO
155,2501,8,INPS DE OBRA
156,2601,8,BASCULANTE
157,2701,8,COLA | EXCETO DUREPOX
158,2702,8,COLA DE MADEIRA
159,2703,8,COLA SUPER BOND
160,2704,8,SUPER BOND
161,2705,8,COLA DE SAPATEIRO
162,2801,8,ARGAMASSA
163,2802,8,REJUNTE
164,2901,8,TELHAS | BARRO; AMIANTO; FIBRA; ALUMINIO; ETC.
165,2902,8,TELHAS | BARRO; AMIANTO; FIBRA; ALUMINIO; ETC.
166,3001,8,SOLEIRA E PARAPEITO DE JANELA DE QUALQUER MATERIAL
167,3002,8,PARAPEITO DE JANELA DE QUALQUER MATERIAL
168,3101,8,PEDRA MARMORE PARA PIA
169,3102,8,MARMORE | PEDRAPARA PIA
170,3103,8,BALCAO DE MARMORE PARA PIA
171,3104,8,BALCAO DE PIA
172,3105,8,BALCAO DE COZINHA
173,3106,8,GRANITO | PEDRAPARA PIA
174,3107,8,BALCAO DE GRANITO PARA PIA
175,3108,8,BALCAO
176,3109,8,PIA DE COZINHA
177,3201,8,CAIXA DE AGUA DE QUALQUER MATERIAL
178,3202,8,TAMPA DE CAIXA DE AGUA
179,3203,8,CAIXA DE AGUA
180,3301,8,GRADE DE FERRO
181,3401,8,BLOCO DE CIMENTO
182,3402,8,BLOCKET | BLOCO DE CIMENTO
183,3501,8,BOX DE BANHEIRO DE QUALQUER MATERIAL
184,3601,8,TANQUE DE QUALQUER MATERIAL
185,3701,8,PORTAL
186,3801,8,CAIXA DE LUZ | PADRAO
