Estado,Livres - Razão de Sexo,Livres - N,Livres - %,Escravos - Razão de Sexo,Escravos - N,Escravos - %,Total
Alagoas,102,90438,77.96,143,25562,22.04,116000
Amazonas,101,10836,59.42,96,7400,40.58,18236
Bahia,98,228388,67.98,148,107573,32.02,335961
Brasil,98,1670492,68.90,141,753971,31.10,2424463
Ceará,96,135062,84.41,110,24938,15.59,160000
Corte,104,26954,52.05,144,24831,47.95,51785
Espírito Santo,99,44950,64.01,115,25269,35.99,70219
Goiás,85,35181,63.48,144,20241,36.52,55422
Maranhão,108,68082,56.73,124,51918,43.27,120000
Mato Grosso,90,14095,56.38,190,10905,43.62,25000
Minas Gerais,98,235041,67.15,152,114959,32.85,350000
Pará,88,54792,70.46,105,22972,29.54,77764
Paraíba,99,74776,78.56,107,20406,21.44,95182
Paraná,91,22215,81.73,101,4967,18.27,27183
Pernambuco,98,173035,70.84,148,71242,29.16,244277
Piaui,111,47884,68.41,120,22116,31.59,70000
Rio de Janeiro,103,84534,46.12,168,98760,53.88,183294
Rio Grande do Norte,100,41719,83.44,109,8281,16.56,50000
Rio Grande do Sul,106,60689,69.62,178,26478,30.38,87167
Santa Catarina,93,29774,76.96,179,8913,23.04,38687
São Paulo,91,130813,75.52,124,42412,24.48,173225
Sergipe,101,61235,81.58,118,13826,18.42,75061
