Ano,População
1720,431695
1721,441011
1722,450527
1723,460250
1724,470181
1725,480328
1726,490693
1727,501281
1728,512099
1729,523149
1730,534439
1731,545971
1732,557753
1733,569789
1734,582085
1735,594646
1736,607478
1737,620587
1738,633978
1739,647659
1740,661635
1741,675913
1742,690499
1743,705399
1744,720621
1745,736171
1746,752058
1747,768286
1748,784865
1749,801802
1750,819105
1751,836780
1752,854837
1753,873284
1754,892129
1755,911380
1756,931047
1757,951139
1758,971664
1759,992631
1760,1014052
1761,1035934
1762,1058289
1763,1081126
1764,1104456
1765,1128289
1766,1152637
1767,1177510
1768,1202920
1769,1228878
1770,1255396
1771,1282487
1772,1310162
1773,1338434
1774,1367317
1775,1396822
1776,1426965
1777,1457758
1778,1489215
1779,1521351
1780,1575733
1781,1599982
1782,1624604
1783,1649605
1784,1674991
1785,1700767
1786,1726940
1787,1753515
1788,1780500
1789,1807900
1790,1835722
1791,1863971
1792,1892656
1793,1921782
1794,1951356
1795,1981385
1796,2011877
1797,2042837
1798,2074274
1799,2106195
1800,2138607
1801,2171518
1802,2204935
1803,2238867
1804,2273320
1805,2308304
1806,2343826
1807,2379895
1808,2424463
1809,2478886
1810,2534530
1811,2591424
1812,2649594
1813,2709071
1814,2769882
1815,2832059
1816,2895631
1817,2960630
1818,3027088
1819,3095038
1820,3164514
1821,3235549
1822,3308178
1823,3382438
1824,3458365
1825,3535996
1826,3615370
1827,3696525
1828,3779503
1829,3864342
1830,3972723
1831,4059812
1832,4148810
1833,4239760
1834,4332703
1835,4427683
1836,4524746
1837,4623936
1838,4725301
1839,4828888
1840,4934746
1841,5042925
1842,5153474
1843,5266448
1844,5381898
1845,5499878
1846,5620445
1847,5743656
1848,5869567
1849,5998238
1850,6129730
1851,6264105
1852,6401425
1853,6541755
1854,6685162
1855,6831713
1856,6981476
1857,7134523
1858,7290924
1859,7450754
1860,7614088
1861,7781002
1862,7951575
1863,8125888
1864,8304022
1865,8486061
1866,8672090
1867,8862198
1868,9056473
1869,9255007
1870,9457893
1871,9665227
1872,9975841
