Ano,Total,Sul da Bahia,Bahia,Norte da Bahia
1781-1785,63100,34800,...,28300
1786-1790,97800,44800,20300,32700
1791-1795,125000,47600,34300,43100
1796-1800,108700,45100,36200,27400
1801-1805,117900,50100,36300,31500
1806-1810,123500,58300,39100,26100
1811-1815,139400,78700,36400,24300
1816-1820,188300,95700,34300,58300
1821-1825,181200,120100,23700,37400
1826-1830,250200,176100,47900,26200
1831-1835,93700,57800,16700,19200
1836-1840,240600,202800,15800,22000
1841-1845,120900,90800,21100,9000
1846-1850,257500,208900,45000,3600
1851-1855,6100,3300,1900,900
Total,2113900,1314900,409000,390000
