Grupos indígenas extintos,População original
Aimoré (Botocudo) (Ilhéus; Espírito Santo),30000
Caeté (Costa Nordeste),50000
Caeté (Minas Gerais),30000
Canindé; Genipapo,20000
Carijó (São Paulo),25000
Carijó (Paraná),6000
Carijó (Rio Grande do Sul),25000
Cariri; Caratiú; Icó; Panati; etc. (Interior Nordeste),25000
Charrua (Rio Grande do Sul),35000
Guarani (Mato Grosso do Sul),25000
Omágua (rio Solimões),20000
Potiguar (Costa Nordeste),90000
Tamoio (Rio de Janeiro),25000
Tamoio (Cabo Frio),35000
Tucuju (Amapá),...
Tupinambá de Cumá (Maranhão),25000
Tupinambá do Recôncavo,85000
Tupiniquim (Ilhéus; Espírito Santo),55000
Tupiniquim (São Paulo),35000
