Regiões,1864,1874,1884,1887
Brasil,1715000,1540829,1240806,723419
Extremo Norte,101000,107680,70394,43981
Amazonas,1000,1545,,
Pará,30000,31537,20849,10535
Maranhão,70000,74598,49545,33446
Nordeste,774000,435687,301470,171797
Piauí,20000,23434,16780,8970
Ceará,36000,31975,,108
Rio Grande do Norte,23000,13634,7209,3167
Paraíba,30000,25817,19165,9448
Pernambuco,260000,106236,72709,41122
Alagoas,50000,36124,26911,15269
Sergipe,55000,33064,25874,16875
Bahia,300000,165403,132822,76838
Sudeste,745000,856659,779175,482571
Minas Gerais,250000,311304,301125,191952
Espírito Santo,15000,22297,20216,13381
Rio de Janeiro,300000,301352,258238,162421
Corte,100000,47084,32103,7488
São Paulo,80000,174622,167493,107329
Oeste e Sul,95000,140803,89767,25070
Paraná,20000,11249,7768,3513
Santa Catarina,15000,15250,8371,4927
Rio Grande do Sul,40000,98450,60136,8442
Mato Grosso,5000,7054,5782,3233
Goiás,15000,8800,7710,4955
