Cod	Grupo	Produto
302	7	GAS ENCANADO | M3
401	7	TELEFONE RESIDENCIAL | GASTO TOTAL | DOMICILIO PRINCIPAL
402	7	TELEFONE RESIDENCIAL | GASTO TOTAL | PULSOS
501	7	GAS DE BUJAO | DOMICILIO PRINCIPAL
502	7	GAS DE BUJAO | KG
503	7	GAS DE BUJAO
601	7	AQUISICAO DE AGUA | DOMICILIO PRINCIPAL
602	7	GARRAFAO DE AGUA | DOMICILIO PRINCIPAL
603	7	AQUISICAO DE AGUA | LITRO
701	7	LENHA | COMBUSTIVEL DOMESTICO | DOMICILIO PRINCIPAL
702	7	LENHA | M3
801	7	GAS DE BUJAO PARA ILUMINACAO | DOMICILIO PRINCIPAL
901	7	QUEROSENE | COMBUSTIVEL DOMESTICO | DOMICILIO PRINCIPAL
902	7	QUEROSENE | COMBUSTIVEL DOMESTICO | LITRO
1001	7	CARVAO | COMBUSTIVEL DOMESTICO | DOMICILIO PRINCIPAL
1002	7	CARVAO | KG
1101	7	ALCOOL | COMBUSTIVEL DOMESTICO | DOMICILIO PRINCIPAL
1201	7	OLEO DIESEL | COMBUSTIVEL DOMESTICO | DOMICILIO PRINCIPAL
1301	7	TELEFONE RESIDENCIAL | INTERURBANO | DOMICILIO PRINCIPAL
1302	7	TELEFONE RESIDENCIAL | INTERURBANO
1401	7	TELEFONE RESIDENCIAL | INTERNACIONAL | DOMICILIO PRINCIPAL
1402  7 TELEFONE RESIDENCIAL | INTERNACIONAL
1601	7	ACESSO A INTERNET | PROVEDOR, A CABO, COMUNICACAO VIA SATELITE | DOMICILIO PRINCIPAL
1602	7	ACESSO A INTERNET | DOMICILIO PRINCIPAL
1603	7	TAXA DE INTERNET | DOMICILIO PRINCIPAL
1604	7	PROVEDOR DE INTERNET | DOMICILIO PRINCIPAL
1605	7	COMUNICACAO A CABO INTERNET | DOMICILIO PRINCIPAL
1606	7	COMUNICACAO VIA SATELITE DE INTERNET | DOMICILIO PRINCIPAL
1607	7	ACESSO INTERNET | PROVEDOR, A CABO, COMUNICAÇÃO VIA SATELITE
1701	7	TV | ASSINATURA | DOMICILIO PRINCIPAL
1702	7	MENSALIDADE DE TV | ASSINATURA | DOMICILIO PRINCIPAL
1703	7	ASSINATURA DE TV | DOMICILIO PRINCIPAL
1704	7	TV | ASSINATURA
1801	7	GASOLINA | COMBUSTIVEL DOMESTICO | DOMICILIO PRINCIPAL
1802	7	GASOLINA | LITRO
1901	7	RECARGA DE BATERIA | ILUMINACAO DOMICILIAR
2001	7	PO DE SERRA
9801	7	AGREGADO
101	8	AZULEJO E PISO
102	8	PISO
103	8	RODAPE | EXCETO DE MADEIRA
104	8	LAJOTA
201	8	APARELHOS SANITARIOS | PIA, VASO, BIDE, BANHEIRA, ETC.
202	8	BIDE
203	8	CONJUNTO SANITARIO
204	8	VASO SANITARIO
205	8	BANHEIRA
206	8	PECA PARA SUPORTE DE PAPEL HIGIENICO
207	8	SABONETEIRA | EXCETO DE PLASTICO
208	8	PIA
209	8	APARELHOS SANITARIOS | PIA, VASO, BIDE, BANHEIRA, ETC.
301	8	JANELA E PORTA
302	8	PORTA
401	8	MADEIRA E TACO
402	8	TACO
403	8	CAIBRO
404	8	RIPA
405	8	SARRAFO
501	8	CIMENTO
502	8	CIMENTO BRANCO
503	8	CIMENTCOLA OU CIMENTOCOLA
601	8	TIJOLO
602	8	BLOCO DE CERAMICA
701	8	VIDRO
801	8	TINTA
802	8	VERNIZ
901	8	MATERIAL DE PINTURA EM GERAL
902	8	MASSA CORRIDA PARA PAREDE
903	8	CAL
904	8	CAL VIRGEM
905	8	ROLO DE PINTURA
906	8	LIXA DE MADEIRA
1001	8	TORNEIRA, CANO E MATERIAL HIDRAULICO EM GERAL
1002	8	CANO
1003	8	MATERIAL HIDRAULICO
1004	8	TORNEIRA, CANO E MATERIAL HIDRAULICO EM GERAL
1101	8	FERRAGENS | FECHADURA, FERRO, ARAME, PREGO, ETC.
1102	8	FECHADURA
1103	8	FERRO
1104	8	ARAME
1105	8	PREGO
1106	8	CADEADO
1107	8	RALO DE ESGOTAMENTO DE AGUA
1108	8	TELA DE ARAME
1109	8	TRILHO METALICO
1110	8	ROLAMENTO PARA PORTA
1111	8	FERRAGENS | FECHADURA, FERRO, ARAME, PREGO, ETC.
1201	8	FIO E MATERIAL ELETRICO EM GERAL
